id,name,lastname,price,flycode,typePassenger,statusFlight
1,Lou,Gonzalez,10000.00,BA2491A,1,Aterrizado
2,Ulrike,Muanoz,25000.00,IB0800A,1,Aterrizado
3,Brade,Rojas,20000.00,MM0987B,1,En Horario
4,Kimbell,Daaz,50000.00,BA2491A,1,Aterrizado
5,Sheelagh,Parez,18000.00,IB0800A,1,Aterrizado
6,Gayle,Soto,30000.00,MM0987B,1,En Horario
7,Kimberlee,Contreras,33000.00,BA2491A,1,Aterrizado
8,Henrieta,Silva,30000.00,IB0800A,1,Aterrizado
9,Jeanine,Martanez,18000.00,MM0987B,1,En Horario
10,Aggie,Sepalveda,15000.00,BA2491A,1,Aterrizado
11,Brandea,Morales,15000.00,IB0800A,1,Aterrizado
12,Cordelie,Rodraguez,50000.00,IB0800A,1,Aterrizado
13,Shel,Lampez,50000.00,MM0987B,1,En Horario
14,Bronnie,Fuentes,20000.00,MM0987B,1,En Horario
15,Megen,Hernandez,10000.00,BA2491A,1,Aterrizado
16,Iver,Torres,12000.00,BA2491A,1,Aterrizado
17,Ernesta,Araya,37000.00,BA2491A,1,Aterrizado
18,Cirillo,Flores,50000.00,MM0987B,1,En Horario
19,Park,Espinoza,30000.00,MM0987B,1,En Horario
20,Bellanca,Valenzuela,15000.00,BA2491A,1,Aterrizado
21,Bobbye,Castillo,15000.00,BA2491A,1,Aterrizado
22,Eugene,Tapia,50000.00,BA2491A,1,Aterrizado
23,Johnny,Reyes,33000.00,MM0987B,1,En Horario
24,Reagen,Gutiarrez,42000.00,MM0987B,1,En Horario
25,Braden,Castro,25000.00,MM0987B,1,En Horario
26,Karim,Pizarro,25000.00,MM0987B,1,En Horario
27,Anthea,Gonzalez,42000.00,MM0987B,1,En Horario
28,Doro,Vasquez,33000.00,IB0800A,1,Aterrizado
29,Gaye,Sanchez,37000.00,IB0800A,1,Aterrizado
30,Toby,Fernandez,15000.00,IB0800A,1,Aterrizado
31,Franny,Ramarez,15000.00,IB0800A,1,Aterrizado
32,Katey,Carrasco,42000.00,MM0987B,1,En Horario
33,Earle,Gammez,10000.00,BA2491A,1,Aterrizado
34,Redd,Cortas,42000.00,BA2491A,1,Aterrizado
35,Jehanna,Herrera,50000.00,BA2491A,1,Aterrizado
36,Cristie,Naanez,10000.00,BA2491A,1,Aterrizado
37,Stefa,Jara,42000.00,BA2491A,1,Aterrizado
38,Roda,Vergara,25000.00,MM0987B,1,En Horario
39,Alfredo,Rivera,10000.00,MM0987B,1,En Horario
40,Sydney,Figueroa,10000.00,MM0987B,1,En Horario
41,Brnaba,Riquelme,30000.00,MM0987B,1,En Horario
42,Ame,Garcaa,50000.00,BA2491A,2,Aterrizado
43,Bradney,Miranda,25000.00,BA2491A,2,Aterrizado
44,Margarete,Bravo,50000.00,BA2491A,2,Aterrizado
45,Nikoletta,Vera,50000.00,MM0987B,1,En Horario
46,Lonnard,Molina,50000.00,IB0800A,1,Aterrizado
47,Raine,Vega,30000.00,IB0800A,1,Aterrizado
48,Noella,Campos,15000.00,IB0800A,1,Aterrizado
49,Dagmar,Sandoval,25000.00,IB0800A,1,Aterrizado
50,Carroll,Orellana,42000.00,IB0800A,1,Aterrizado
51,Marion,Cardenas,50000.00,IB0800A,1,Aterrizado
52,Carline,Olivares,12000.00,IB0800A,1,Aterrizado
53,Hyacinthie,Alarcamn,15000.00,MM0987B,1,En Horario
54,Julina,Gallardo,33000.00,MM0987B,1,En Horario
55,Corina,Ortiz,37000.00,MM0987B,1,En Horario
56,Bernardine,Garrido,33000.00,MM0987B,1,En Horario
57,Homer,Salazar,18000.00,MM0987B,1,En Horario
58,Lianna,Guzman,12000.00,MM0987B,1,En Horario
59,Celene,Henraquez,50000.00,MM0987B,1,En Horario
60,Kori,Saavedra,50000.00,MM0987B,1,En Horario
61,Deeyn,Navarro,20000.00,MM0987B,1,En Horario
62,Marysa,Aguilera,20000.00,MM0987B,1,En Horario
63,Loy,Parra,15000.00,MM0987B,1,En Horario
64,Gabbey,Romero,37000.00,MM0987B,1,En Horario
65,Star,Aravena,33000.00,MM0987B,1,En Horario
66,Dominica,Vargas,33000.00,IB0800A,1,Aterrizado
67,Blanch,Vazquez,15000.00,IB0800A,1,Aterrizado
68,Cristobal,Caceres,15000.00,IB0800A,1,Aterrizado
69,Paulita,Yaanez,50000.00,IB0800A,1,Aterrizado
70,Sayre,Leiva,33000.00,IB0800A,1,Aterrizado
71,Shaughn,Escobar,15000.00,IB0800A,1,Aterrizado
72,Katrine,Ruiz,25000.00,IB0800A,1,Aterrizado
73,Cristi,Valdas,42000.00,IB0800A,1,Aterrizado
74,Cristie,Vidal,25000.00,IB0800A,2,Aterrizado
75,Solomon,Salinas,10000.00,IB0800A,2,Aterrizado
76,Nananne,Zaaniga,33000.00,IB0800A,2,Aterrizado
